datetime,open,high,low,close,volumn,openinterest
2018-08-01,56.1994,56.7541,54.2169,54.2897,563434.32,0.0
2018-08-02,54.026,54.0987,52.5619,52.9802,646804.28,0.0
2018-08-03,53.1348,53.4349,52.5437,52.5801,362083.3,0.0
2018-08-06,52.571,53.5258,52.1617,52.5892,419785.66,0.0
2018-08-07,52.8438,54.1987,52.7074,54.1624,561861.21,0.0
2018-08-08,54.1533,54.2897,52.9165,53.0893,412109.11,0.0
2018-08-09,53.0893,55.4628,52.9074,55.1263,635433.07,0.0
2018-08-10,55.0717,55.4355,54.4079,54.9626,349041.51,0.0
2018-08-13,54.3806,54.4261,53.3439,54.1533,454649.48,0.0
2018-08-14,54.1624,54.3079,53.2712,53.6986,308740.67,0.0
2018-08-15,53.6804,53.6986,51.5343,51.8617,613747.92,0.0
2018-08-16,51.2706,52.6983,50.8159,51.8162,475074.98,0.0
2018-08-17,52.4709,52.5801,51.3433,51.4524,351360.05,0.0
2018-08-20,51.7798,52.5801,51.6161,52.571,462142.66,0.0
2018-08-21,52.6164,54.2442,52.6164,54.0351,636650.64,0.0
2018-08-22,55.7265,55.9266,54.899,55.4082,1041857.14,0.0
2018-08-23,55.481,56.7268,55.481,56.4995,756111.3,0.0
2018-08-24,56.1084,57.5907,55.9266,56.8087,572631.51,0.0
2018-08-27,57.3634,57.909,57.036,57.718,585793.43,0.0
2018-08-28,58.0181,58.0545,56.9269,57.1997,424944.21,0.0
2018-08-29,56.9996,57.5634,56.9723,57.2997,278926.79,0.0
2018-08-30,57.7453,58.2455,57.3088,57.4361,458496.33,0.0
2018-08-31,56.745,57.6817,56.5631,57.2724,521114.0,0.0
2018-09-03,56.9269,57.2906,56.4813,57.0451,323790.59,0.0
2018-09-04,57.1542,59.0457,56.8723,58.9275,658378.78,0.0
2018-09-05,58.5728,58.782,57.1087,57.1087,507437.18,0.0
2018-09-06,57.0301,57.4158,56.0291,56.3138,457426.29,0.0
2018-09-07,56.8281,58.3158,56.5709,57.6546,494711.65,0.0
2018-09-10,57.4893,57.7373,56.5709,56.9658,323390.01,0.0
2018-09-11,56.9383,57.4709,56.2495,56.6444,347070.57,0.0
2018-09-12,56.3046,56.4424,55.3587,55.6526,435460.28,0.0
2018-09-13,56.7362,57.3056,56.0291,57.3056,538846.97,0.0
2018-09-14,57.4617,58.5546,57.324,58.1321,558370.41,0.0
2018-09-17,57.2138,58.0219,57.1679,57.4066,269595.87,0.0
2018-09-18,57.076,59.0505,57.0301,58.8852,635569.33,0.0
2018-09-19,58.8577,60.428,58.6005,59.8311,834705.07,0.0
2018-09-20,59.877,60.2076,59.3352,59.5097,418923.78,0.0
2018-09-21,59.9505,61.9893,59.6658,61.9801,810431.09,0.0
2018-09-25,61.4382,62.2005,61.0525,61.7046,578103.89,0.0
2018-09-26,61.7413,63.3668,61.374,62.4117,908525.51,0.0
2018-09-27,62.2005,62.2188,61.4015,61.7137,623574.33,0.0
2018-09-28,61.9893,63.4586,61.9342,62.9076,739523.87,0.0
2018-10-08,61.3464,61.3831,59.427,59.4913,1128444.71,0.0
2018-10-09,59.3536,60.0423,59.0781,59.6934,486319.08,0.0
2018-10-10,59.776,60.226,58.9587,59.3719,582799.02,0.0
2018-10-11,57.0301,58.0403,56.3689,56.8005,1145327.45,0.0
2018-10-12,57.3975,59.0046,57.2138,58.6556,774616.71,0.0
2018-10-15,58.6832,59.1791,57.9393,58.0403,539743.26,0.0
2018-10-16,58.1781,59.8587,58.1597,58.775,584034.99,0.0
2018-10-17,59.8495,59.9872,57.3148,58.9219,761401.92,0.0
2018-10-18,58.3066,58.3342,57.1679,57.3515,603019.84,0.0
